cntry;essround;idno;pspwght;pweight;polintr;happy;gndr;yrbrn;agea;chldhm;edulvla;eisced;eduyrs;pdwrk;edctn;wkhtot;isco08;uemp3m;hinctnta
CH;8;3197;1.032253623;0.464939934;1;9;1;1972;44;2;5;7;18;1;0;44;3411;2;9
CH;8;3198;1.147626638;0.464939934;2;9;2;1988;28;2;5;6;15;1;0;41;1221;2;10
CH;8;3202;1.160116434;0.464939934;3;9;2;1986;30;2;5;7;19;1;0;30;2656;1;6
CH;8;3203;1.147626638;0.464939934;2;8;2;1990;26;2;5;6;15;1;0;14;2341;2;3
CH;8;3205;1.022381425;0.464939934;3;7;1;1985;31;2;3;3;9;1;0;42;7322;2;4
CH;8;3209;0.972100914;0.464939934;3;6;2;1989;27;2;5;5;15;1;0;37;2264;2;8
CH;8;3213;1.152878165;0.464939934;3;8;2;1980;36;1;5;6;15;1;0;8;2631;2;5
CH;8;3214;0.966035604;0.464939934;2;5;2;1965;51;2;2;2;9;1;0;50;3122;2;5
CH;8;3216;0.972100914;0.464939934;3;8;2;1992;24;2;3;3;9;1;0;43;4120;2;3
CH;8;3220;0.972100914;0.464939934;4;8;2;1984;33;1;2;2;9;1;0;52;1120;2;88
CH;8;3221;0.972100914;0.464939934;4;8;2;1987;29;2;3;3;10;1;0;888;5111;2;4
CH;8;3224;1.032253623;0.464939934;1;9;1;1968;48;2;5;6;14;1;0;50;1320;2;7
CH;8;3227;1.186012149;0.464939934;2;3;1;1980;36;2;5;7;15;1;0;80;1221;2;7
CH;8;3228;1.003414631;0.464939934;3;9;2;1963;53;2;3;3;9;1;0;40;5322;2;4
CH;8;3230;1.033508062;0.464939934;3;8;1;1999;17;2;2;2;11;1;1;42;7122;2;4
CH;8;3231;0.899520457;0.464939934;4;8;1;1995;21;2;3;3;9;0;1;10;9313;2;1
CH;8;3235;0.959825993;0.464939934;4;7;2;1957;59;2;3;4;12;0;0;50;4419;2;2
CH;8;3236;1.022381425;0.464939934;2;8;1;1983;34;2;5;5;10;1;0;50;1324;2;7
CH;8;3240;1.022381425;0.464939934;2;8;1;1990;26;2;3;3;10;1;0;55;7522;2;4
CH;8;3243;1.032253623;0.464939934;1;8;1;1966;50;1;5;5;13;1;0;60;3118;2;8
CH;8;3244;1.147626638;0.464939934;2;6;2;1988;28;2;5;7;18;1;0;65;1000;2;9
